City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Lodeynoye Pole,RU,2022-05-10 23:27:58,60.726,33.5531,39.76,76,24,4.05,RU,2022-05-10 23:27:58
1,Fortuna,US,2022-05-10 23:27:59,40.5982,-124.1573,57.92,61,20,13.8,US,2022-05-10 23:27:59
2,Jamestown,US,2022-05-10 23:27:59,42.097,-79.2353,76.64,12,0,0.0,US,2022-05-10 23:27:59
3,Chudniv,UA,2022-05-10 23:28:00,50.052,28.1175,45.45,64,100,5.79,UA,2022-05-10 23:28:00
4,Rikitea,PF,2022-05-10 23:23:13,-23.1203,-134.9692,76.87,70,3,15.66,PF,2022-05-10 23:23:13
5,Hilo,US,2022-05-10 23:23:42,19.7297,-155.09,82.27,77,75,13.8,US,2022-05-10 23:23:42
6,Vaini,TO,2022-05-10 23:23:15,-21.2,-175.2,80.76,61,20,8.05,TO,2022-05-10 23:23:15
7,Isangel,VU,2022-05-10 23:28:01,-19.55,169.2667,82.51,65,75,6.91,VU,2022-05-10 23:28:01
8,Yazman,PK,2022-05-10 23:28:01,29.1212,71.7446,91.44,14,1,11.59,PK,2022-05-10 23:28:01
9,Busselton,AU,2022-05-10 23:28:02,-33.65,115.3333,60.49,82,89,1.12,AU,2022-05-10 23:28:02
10,Klaksvik,FO,2022-05-10 23:28:03,62.2266,-6.589,45.52,86,91,6.22,FO,2022-05-10 23:28:03
11,Albany,US,2022-05-10 23:23:38,42.6001,-73.9662,72.01,53,0,6.42,US,2022-05-10 23:23:38
12,Lufilufi,WS,2022-05-10 23:28:03,-13.8745,-171.5986,89.38,70,33,14.65,WS,2022-05-10 23:28:03
13,Ilulissat,GL,2022-05-10 23:28:04,69.2167,-51.1,24.82,58,34,8.05,GL,2022-05-10 23:28:04
14,Atuona,PF,2022-05-10 23:28:04,-9.8,-139.0333,78.55,68,36,19.06,PF,2022-05-10 23:28:04
15,Mataura,NZ,2022-05-10 23:23:20,-46.1927,168.8643,52.48,69,14,3.0,NZ,2022-05-10 23:23:20
16,Carnarvon,AU,2022-05-10 23:28:05,-24.8667,113.6333,68.07,94,94,5.75,AU,2022-05-10 23:28:05
17,Saskylakh,RU,2022-05-10 23:24:37,71.9167,114.0833,19.85,87,100,3.36,RU,2022-05-10 23:24:37
18,Miles City,US,2022-05-10 23:28:06,46.4083,-105.8406,63.57,20,0,2.35,US,2022-05-10 23:28:06
19,Cape Town,ZA,2022-05-10 23:24:08,-33.9258,18.4232,60.12,93,75,11.5,ZA,2022-05-10 23:24:08
20,Dawei,MM,2022-05-10 23:28:07,14.0833,98.2,77.74,90,81,2.51,MM,2022-05-10 23:28:07
21,Rawson,AR,2022-05-10 23:28:07,-43.3002,-65.1023,52.47,72,0,10.02,AR,2022-05-10 23:28:07
22,Chuy,UY,2022-05-10 23:28:08,-33.6971,-53.4616,60.58,90,100,5.08,UY,2022-05-10 23:28:08
23,Lebu,CL,2022-05-10 23:28:08,-37.6167,-73.65,51.39,77,100,8.95,CL,2022-05-10 23:28:08
24,Ushuaia,AR,2022-05-10 23:28:09,-54.8,-68.3,40.66,75,0,5.75,AR,2022-05-10 23:28:09
25,Tuktoyaktuk,CA,2022-05-10 23:28:09,69.4541,-133.0374,30.2,80,40,11.5,CA,2022-05-10 23:28:09
26,Pechora,RU,2022-05-10 23:28:10,65.1472,57.2244,30.16,88,1,0.72,RU,2022-05-10 23:28:10
27,Port Lincoln,AU,2022-05-10 23:28:10,-34.7333,135.8667,59.25,66,0,7.61,AU,2022-05-10 23:28:10
28,Lavrentiya,RU,2022-05-10 23:28:11,65.5833,-171.0,32.77,98,100,6.44,RU,2022-05-10 23:28:11
29,Bandar-E Lengeh,IR,2022-05-10 23:28:12,26.5579,54.8807,79.79,59,0,4.36,IR,2022-05-10 23:28:12
30,Ipixuna,BR,2022-05-10 23:28:12,-1.7625,-48.8043,73.31,97,100,2.82,BR,2022-05-10 23:28:12
31,Port Alfred,ZA,2022-05-10 23:28:13,-33.5906,26.891,68.38,44,99,11.34,ZA,2022-05-10 23:28:13
32,Praia,CV,2022-05-10 23:28:13,14.9215,-23.5087,73.94,73,0,14.97,CV,2022-05-10 23:28:13
33,Kutum,SD,2022-05-10 23:25:12,14.2,24.6667,78.75,11,49,8.84,SD,2022-05-10 23:25:12
34,Te Anau,NZ,2022-05-10 23:28:14,-45.4167,167.7167,45.88,75,29,1.1,NZ,2022-05-10 23:28:14
35,Chokurdakh,RU,2022-05-10 23:26:21,70.6333,147.9167,15.48,92,100,8.93,RU,2022-05-10 23:26:21
36,Hithadhoo,MV,2022-05-10 23:28:15,-0.6,73.0833,83.53,76,100,16.64,MV,2022-05-10 23:28:15
37,Bilibino,RU,2022-05-10 23:28:16,68.0546,166.4372,32.18,97,99,5.1,RU,2022-05-10 23:28:16
38,Katsuura,JP,2022-05-10 23:28:16,35.1333,140.3,61.36,77,100,8.79,JP,2022-05-10 23:28:16
39,Yellowknife,CA,2022-05-10 23:28:05,62.456,-114.3525,36.12,64,100,6.91,CA,2022-05-10 23:28:05
40,Rio Grande,BR,2022-05-10 23:23:28,-32.035,-52.0986,62.71,89,100,3.11,BR,2022-05-10 23:23:28
41,Mar Del Plata,AR,2022-05-10 23:29:17,-38.0023,-57.5575,54.88,78,75,11.5,AR,2022-05-10 23:29:17
42,Hobart,AU,2022-05-10 23:29:18,-42.8794,147.3294,50.05,82,0,6.91,AU,2022-05-10 23:29:18
43,Lagoa,PT,2022-05-10 23:29:18,39.05,-27.9833,59.54,84,93,21.47,PT,2022-05-10 23:29:18
44,Barrow,US,2022-05-10 23:29:19,71.2906,-156.7887,24.82,74,100,13.8,US,2022-05-10 23:29:19
45,Dingle,PH,2022-05-10 23:29:19,10.9995,122.6711,81.07,79,75,5.68,PH,2022-05-10 23:29:19
46,Mount Isa,AU,2022-05-10 23:26:17,-20.7333,139.5,65.97,94,100,9.22,AU,2022-05-10 23:26:17
47,Hvolsvollur,IS,2022-05-10 23:29:20,63.7533,-20.2243,42.75,64,81,7.54,IS,2022-05-10 23:29:20
48,Kyabram,AU,2022-05-10 23:29:20,-36.3167,145.05,58.87,72,100,9.44,AU,2022-05-10 23:29:20
49,Esperance,AU,2022-05-10 23:27:43,-33.8667,121.9,62.44,34,50,15.41,AU,2022-05-10 23:27:43
50,Vytegra,RU,2022-05-10 23:29:21,61.0064,36.4481,38.75,71,1,4.63,RU,2022-05-10 23:29:21
51,Hermanus,ZA,2022-05-10 23:28:42,-34.4187,19.2345,61.81,84,96,15.39,ZA,2022-05-10 23:28:42
52,Kruisfontein,ZA,2022-05-10 23:29:12,-34.0033,24.7314,60.04,76,77,15.05,ZA,2022-05-10 23:29:12
53,Georgetown,MY,2022-05-10 23:29:23,5.4112,100.3354,75.15,100,40,5.75,MY,2022-05-10 23:29:23
54,Vicente Guerrero,MX,2022-05-10 23:29:23,19.1194,-98.1708,81.79,22,73,16.69,MX,2022-05-10 23:29:23
55,Buncrana,IE,2022-05-10 23:29:24,55.1333,-7.45,48.2,80,30,16.87,IE,2022-05-10 23:29:24
56,Riyadh,SA,2022-05-10 23:25:10,24.6877,46.7219,80.74,14,0,6.53,SA,2022-05-10 23:25:10
57,Maragogi,BR,2022-05-10 23:29:24,-9.0122,-35.2225,77.0,80,99,3.47,BR,2022-05-10 23:29:24
58,Fare,PF,2022-05-10 23:29:25,-16.7,-151.0167,82.31,73,11,18.7,PF,2022-05-10 23:29:25
59,Lorengau,PG,2022-05-10 23:29:26,-2.0226,147.2712,84.27,73,100,11.43,PG,2022-05-10 23:29:26
60,Khatanga,RU,2022-05-10 23:27:46,71.9667,102.5,21.99,95,96,10.33,RU,2022-05-10 23:27:46
61,Port Elizabeth,ZA,2022-05-10 23:29:26,-33.918,25.5701,64.69,93,0,21.85,ZA,2022-05-10 23:29:26
62,Fairbanks,US,2022-05-10 23:29:18,64.8378,-147.7164,43.21,81,75,6.91,US,2022-05-10 23:29:18
63,Itagiba,BR,2022-05-10 23:29:27,-14.2836,-39.8428,68.05,96,72,1.83,BR,2022-05-10 23:29:27
64,New Norfolk,AU,2022-05-10 23:29:28,-42.7826,147.0587,49.71,85,55,1.01,AU,2022-05-10 23:29:28
65,Tasiilaq,GL,2022-05-10 23:29:28,65.6145,-37.6368,24.96,90,98,8.72,GL,2022-05-10 23:29:28
66,Makat,KZ,2022-05-10 23:29:29,47.6469,53.3463,46.72,63,0,7.27,KZ,2022-05-10 23:29:29
67,Westport,US,2022-05-10 23:29:29,41.1415,-73.3579,67.82,28,20,16.11,US,2022-05-10 23:29:29
68,Punta Arenas,CL,2022-05-10 23:29:30,-53.15,-70.9167,42.91,70,75,13.8,CL,2022-05-10 23:29:30
69,Saint Anthony,US,2022-05-10 23:29:30,45.0205,-93.218,80.22,26,0,9.22,US,2022-05-10 23:29:30
70,Avarua,CK,2022-05-10 23:26:34,-21.2078,-159.775,82.45,78,75,4.61,CK,2022-05-10 23:26:34
71,Karatau,KZ,2022-05-10 23:29:31,43.1667,70.4667,60.17,68,52,4.94,KZ,2022-05-10 23:29:31
72,Mayumba,GA,2022-05-10 23:29:31,-3.432,10.6554,77.95,93,80,3.8,GA,2022-05-10 23:29:31
73,Bafra,TR,2022-05-10 23:29:32,41.5678,35.9069,50.83,69,0,5.06,TR,2022-05-10 23:29:32
74,Yongan,CN,2022-05-10 23:29:33,39.6957,113.6871,47.46,63,98,5.14,CN,2022-05-10 23:29:33
75,Tuatapere,NZ,2022-05-10 23:29:33,-46.1333,167.6833,51.87,65,10,4.59,NZ,2022-05-10 23:29:33
76,Pevek,RU,2022-05-10 23:29:34,69.7008,170.3133,29.07,76,85,7.74,RU,2022-05-10 23:29:34
77,Kavaratti,IN,2022-05-10 23:29:34,10.5669,72.642,84.96,68,100,19.93,IN,2022-05-10 23:29:34
78,Inhambane,MZ,2022-05-10 23:29:35,-23.865,35.3833,66.06,90,0,6.17,MZ,2022-05-10 23:29:35
79,Huntingdon,GB,2022-05-10 23:29:35,52.3305,-0.1865,57.07,69,100,5.01,GB,2022-05-10 23:29:35
80,Bethel,US,2022-05-10 23:29:36,41.3712,-73.414,69.89,18,75,8.05,US,2022-05-10 23:29:36
81,Victoria,HK,2022-05-10 23:27:04,22.2855,114.1577,78.85,95,89,8.99,HK,2022-05-10 23:27:04
82,Provideniya,RU,2022-05-10 23:24:54,64.3833,-173.3,32.36,93,75,11.18,RU,2022-05-10 23:24:54
83,Bluff,NZ,2022-05-10 23:29:37,-46.6,168.3333,52.81,77,19,12.59,NZ,2022-05-10 23:29:37
84,Lata,PT,2022-05-10 23:27:40,40.1629,-8.3327,55.63,71,16,1.86,PT,2022-05-10 23:27:40
85,Arraial Do Cabo,BR,2022-05-10 23:29:38,-22.9661,-42.0278,69.76,88,75,3.44,BR,2022-05-10 23:29:38
86,Cantavir,RS,2022-05-10 23:30:39,45.9219,19.7627,61.38,71,95,5.14,RS,2022-05-10 23:30:39
87,Kahului,US,2022-05-10 23:26:02,20.8947,-156.47,84.22,60,40,25.32,US,2022-05-10 23:26:02
88,Codrington,AU,2022-05-10 23:30:39,-38.2667,141.9667,59.65,67,70,5.88,AU,2022-05-10 23:30:39
89,Iqaluit,CA,2022-05-10 23:26:17,63.7506,-68.5145,31.73,93,100,24.16,CA,2022-05-10 23:26:17
90,Faanui,PF,2022-05-10 23:30:40,-16.4833,-151.75,82.27,72,17,16.8,PF,2022-05-10 23:30:40
91,Mahebourg,MU,2022-05-10 23:30:40,-20.4081,57.7,75.25,100,20,5.75,MU,2022-05-10 23:30:40
92,Kabare,CD,2022-05-10 23:30:41,-2.4683,28.8242,60.66,96,81,0.74,CD,2022-05-10 23:30:41
93,Lima Duarte,BR,2022-05-10 23:30:41,-21.8425,-43.7931,61.5,95,4,2.04,BR,2022-05-10 23:30:41
94,Zhob,PK,2022-05-10 23:30:42,31.3411,69.4481,74.88,19,26,5.73,PK,2022-05-10 23:30:42
95,Thompson,CA,2022-05-10 23:26:40,55.7435,-97.8558,60.96,44,100,6.91,CA,2022-05-10 23:26:40
96,Mitu,CO,2022-05-10 23:30:43,1.1983,-70.1733,74.16,98,95,0.83,CO,2022-05-10 23:30:43
97,College,US,2022-05-10 23:27:37,64.8569,-147.8028,43.59,82,75,6.91,US,2022-05-10 23:27:37
98,Pryozerne,UA,2022-05-10 23:30:45,45.2698,36.3303,49.33,82,84,8.7,UA,2022-05-10 23:30:45
99,Dudinka,RU,2022-05-10 23:30:46,69.4058,86.1778,13.17,92,44,8.7,RU,2022-05-10 23:30:46
100,Gainesville,US,2022-05-10 23:30:46,29.6516,-82.3248,79.09,41,0,1.01,US,2022-05-10 23:30:46
101,Wawa,NG,2022-05-10 23:30:47,9.9022,4.4192,84.74,59,95,4.0,NG,2022-05-10 23:30:47
102,San Patricio,US,2022-05-10 23:30:48,28.017,-97.5169,88.52,62,26,19.42,US,2022-05-10 23:30:48
103,San Luis,AR,2022-05-10 23:30:30,-33.295,-66.3356,65.28,47,89,12.46,AR,2022-05-10 23:30:30
104,Ixtapa,MX,2022-05-10 23:30:48,20.7,-105.2,81.23,78,20,13.8,MX,2022-05-10 23:30:48
105,Huaiyin,CN,2022-05-10 23:30:49,33.5886,119.0192,62.71,75,100,8.86,CN,2022-05-10 23:30:49
106,East London,ZA,2022-05-10 23:30:49,-33.0153,27.9116,68.29,39,100,6.2,ZA,2022-05-10 23:30:49
107,The Valley,AI,2022-05-10 23:30:50,18.217,-63.0578,82.26,78,20,13.8,AI,2022-05-10 23:30:50
108,Mata,PT,2022-05-10 23:30:50,40.683,-7.4592,61.61,50,12,3.24,PT,2022-05-10 23:30:50
109,Mehamn,NO,2022-05-10 23:30:51,71.0357,27.8492,35.51,96,100,18.23,NO,2022-05-10 23:30:51
110,Jinxiang,CN,2022-05-10 23:30:51,27.4327,120.6062,67.62,93,100,1.74,CN,2022-05-10 23:30:51
111,Butaritari,KI,2022-05-10 23:30:52,3.0707,172.7902,81.28,72,19,14.32,KI,2022-05-10 23:30:52
112,Moscow,RU,2022-05-10 23:26:53,55.7522,37.6156,48.43,56,100,13.15,RU,2022-05-10 23:26:53
113,Rocha,UY,2022-05-10 23:30:53,-34.4833,-54.3333,57.56,96,100,6.64,UY,2022-05-10 23:30:53
114,Pavino,RU,2022-05-10 23:30:53,59.1139,46.1414,41.16,89,100,11.3,RU,2022-05-10 23:30:53
115,Viedma,AR,2022-05-10 23:30:54,-40.8135,-62.9967,50.79,76,0,7.49,AR,2022-05-10 23:30:54
116,Ancud,CL,2022-05-10 23:30:43,-41.8697,-73.8203,48.7,85,77,4.0,CL,2022-05-10 23:30:43
117,Vila Velha,BR,2022-05-10 23:29:56,-20.3297,-40.2925,73.35,83,0,4.61,BR,2022-05-10 23:29:56
118,Castro,BR,2022-05-10 23:30:54,-24.7911,-50.0119,60.35,89,84,3.8,BR,2022-05-10 23:30:54
119,Kavieng,PG,2022-05-10 23:30:55,-2.5744,150.7967,85.24,68,95,16.31,PG,2022-05-10 23:30:55
120,Kailua,US,2022-05-10 23:30:56,21.4022,-157.7394,84.18,69,75,13.8,US,2022-05-10 23:30:56
121,Taoudenni,ML,2022-05-10 23:30:56,22.6783,-3.9836,89.02,9,7,7.52,ML,2022-05-10 23:30:56
122,Edson,CA,2022-05-10 23:30:23,53.5835,-116.4356,51.94,40,0,11.5,CA,2022-05-10 23:30:23
123,Verkh-Usugli,RU,2022-05-10 23:30:57,52.7,115.1667,33.44,44,100,8.93,RU,2022-05-10 23:30:57
124,Puerto Ayora,EC,2022-05-10 23:30:58,-0.7393,-90.3518,73.54,92,33,5.99,EC,2022-05-10 23:30:58
125,Tulun,RU,2022-05-10 23:30:58,54.5611,100.5792,38.71,43,18,5.03,RU,2022-05-10 23:30:58
126,Kloulklubed,PW,2022-05-10 23:30:59,7.0419,134.2556,77.5,90,100,16.37,PW,2022-05-10 23:30:59
127,Saint-Philippe,RE,2022-05-10 23:30:59,-21.3585,55.7679,72.99,79,10,6.38,RE,2022-05-10 23:30:59
128,Wajima,JP,2022-05-10 23:31:00,37.4,136.9,65.08,67,0,3.44,JP,2022-05-10 23:31:00
129,Le Port,RE,2022-05-10 23:31:00,-20.9373,55.2919,74.25,75,11,10.98,RE,2022-05-10 23:31:00
130,Mount Gambier,AU,2022-05-10 23:29:09,-37.8333,140.7667,48.11,100,40,3.44,AU,2022-05-10 23:29:09
131,Suntar,RU,2022-05-10 23:31:01,62.1444,117.6319,40.3,71,30,6.58,RU,2022-05-10 23:31:01
